cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","6/30/2017","5/19/2019","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.1880bank.com","239062","1616","240678","0","240678","211603","211603","3038","92825","58417","34408","1118","99566","15056","","5457","20391","","2424","0","209","12","2203","803","","758","45","0","0","0","","671","460","896","2142","1874",""
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","6/30/2017","5/19/2019","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","80248","761","81009","0","81009","70224","70224","5105","51492","25390","26102","2766","10861","0","","0","9742","","124","0","24","80","20","919","","0","919","0","0","0","","0","0","1100","4005","761",""
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","6/30/2017","5/19/2019","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/22/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","25382","555","25937","0","25937","6683","6683","0","191","0","191","0","421","6071","","13636","4812","","698","0","2","433","263","108","","0","108","0","0","0","","0","0","0","0","555",""
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","6/30/2017","5/19/2019","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www/1stbankandtrust.com","87316","1022","88338","4","88342","56521","56521","4331","18484","3249","15235","0","30246","3460","","3607","4392","","23246","0","16","16957","6273","576","","259","0","317","0","0","","0","0","1293","3038","1022",""
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","6/30/2017","5/19/2019","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","18288","151","18439","0","18439","7905","7905","113","2523","1891","632","0","4710","559","","1920","4713","","3817","0","0","1128","2689","83","","0","83","0","0","0","","0","0","106","7","151",""
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","6/30/2017","5/19/2019","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","165923","979","166902","52","166954","165768","165768","10236","22265","17327","4938","78","133189","0","","0","489","","697","0","0","0","697","0","","0","0","0","0","0","","0","0","10010","226","979",""
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","6/30/2017","5/19/2019","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/1/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","212585","2081","214666","1029","215695","180371","180371","13059","134741","71956","62785","7249","14600","10722","","1532","26953","","1212","0","239","150","823","5627","","5627","0","0","0","548","","482","0","2671","10388","2095",""
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","6/30/2017","5/19/2019","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","27589","265","27854","0","27854","25759","25759","121","2267","2267","0","155","19287","3929","","460","453","","1177","0","3","264","910","5","","0","5","0","0","0","","0","0","51","70","265",""
"58485","0","3594797","0","1st Capital Bank","Salinas","CA","93901","6/30/2017","5/19/2019","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","412586","6241","418827","0","418827","357452","357452","3587","170023","67169","102854","60494","109930","13418","","5827","50527","","5","0","1","0","4","5016","","0","5016","0","0","5827","","203","203","0","3587","4933",""
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","6/30/2017","5/19/2019","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","378242","4746","382988","0","382988","341879","341879","42275","79153","51735","27418","8118","212297","36","","0","28233","","4419","0","105","3142","1172","8457","","8000","457","0","0","0","","1476","1476","42275","0","4244",""
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","6/30/2017","5/19/2019","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","45819","445","46264","0","46264","30296","30296","218","4185","3613","572","0","12233","13660","","9589","4960","","1365","0","13","962","390","54","","48","6","0","0","0","","0","0","0","218","445",""
