cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","3/31/2017","5/19/2019","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.1880bank.com","239565","1603","241168","0","241168","212090","212090","2781","92298","57756","34542","1127","100966","14918","","5210","20693","","2326","0","199","14","2113","849","","801","48","0","0","0","","4894","3642","675","2106","1861",""
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","3/31/2017","5/19/2019","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","79116","730","79846","0","79846","68197","68197","5749","49416","23586","25830","2804","9801","427","","0","10498","","168","0","24","84","60","983","","0","983","0","0","0","","0","0","1948","3801","730",""
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","3/31/2017","5/19/2019","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/22/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","22963","993","23956","0","23956","6844","6844","0","198","0","198","0","432","6214","","11380","5023","","694","0","1","457","236","15","","0","15","0","0","0","","0","0","0","0","993",""
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","3/31/2017","5/19/2019","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www/1stbankandtrust.com","84839","958","85797","4","85801","53946","53946","4799","17892","3439","14453","0","27717","3538","","3664","4493","","23094","0","22","16914","6158","604","","274","0","330","0","0","","0","0","2085","2714","958",""
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","3/31/2017","5/19/2019","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","18319","141","18460","0","18460","7902","7902","77","2555","1917","638","0","4709","561","","2236","4442","","3746","0","0","1059","2687","134","","0","134","0","0","0","","0","0","70","7","141",""
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","3/31/2017","5/19/2019","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","165675","995","166670","65","166735","165823","165823","11988","22060","17110","4950","79","131696","0","","0","338","","573","0","0","0","573","0","","0","0","0","0","0","","0","0","11696","292","995",""
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","3/31/2017","5/19/2019","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/1/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","216478","2024","218502","1009","219511","182162","182162","13249","137611","73744","63867","7148","13795","10359","","1496","28961","","1183","0","230","180","773","5709","","5709","0","0","0","470","","485","0","3799","9450","2038",""
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","3/31/2017","5/19/2019","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","27266","265","27531","0","27531","25465","25465","230","2268","2268","0","157","19138","3672","","410","478","","1169","0","3","224","942","9","","0","9","0","0","0","","0","0","159","71","265",""
"58485","0","3594797","0","1st Capital Bank","Monterey","CA","93940","3/31/2017","5/19/2019","NM","5 Harris Court, Bldg N, # No","","5","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","4/11/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","402345","6208","408553","0","408553","353896","353896","3618","156667","61182","95485","53471","123604","16536","","4970","44548","","11","0","3","0","8","5128","","0","5128","0","0","4970","","204","204","0","3618","4752",""
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","3/31/2017","5/19/2019","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","362756","4643","367399","0","367399","328218","328218","36809","77513","50286","27227","7439","206420","37","","0","26188","","4525","0","116","3187","1222","8468","","8000","468","0","0","0","","1484","1484","36809","0","4057",""
