cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","12/31/2017","5/19/2019","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.1880bank.com","246736","1846","248582","0","248582","211678","211678","7362","86441","58018","28423","1769","100537","15569","","5439","23849","","2664","0","639","35","1990","4952","","4921","31","0","0","0","","295","88","2790","4572","2104",""
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","12/31/2017","5/19/2019","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","86323","719","87042","0","87042","75921","75921","7577","50879","25912","24967","3440","14025","0","","0","10168","","118","0","23","79","16","835","","0","835","0","0","0","","0","0","2667","4910","719",""
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","12/31/2017","5/19/2019","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/22/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","22061","555","22616","0","22616","6657","6657","0","162","0","162","0","346","6149","","11167","4141","","639","0","2","346","291","12","","0","12","0","0","0","","0","0","0","0","311",""
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","12/31/2017","5/19/2019","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www/1stbankandtrust.com","88749","1099","89848","3","89851","57720","57720","4362","17971","2751","15220","0","31250","4137","","3536","4317","","22755","0","33","16399","6323","1523","","731","0","792","0","0","","0","0","1064","3298","1099",""
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","12/31/2017","5/19/2019","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","17718","183","17901","0","17901","7187","7187","140","2381","1829","552","0","4102","564","","1971","4782","","3843","0","0","1140","2703","118","","0","118","0","0","0","","0","0","134","6","183",""
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","12/31/2017","5/19/2019","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","163671","964","164635","70","164705","163905","163905","9485","21365","16641","4724","75","132980","0","","0","298","","502","0","0","0","502","0","","0","0","0","0","0","","0","0","9331","154","964",""
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","12/31/2017","5/19/2019","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/1/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","246066","2135","248201","1072","249273","203244","203244","18224","152611","80342","72269","6383","15929","10097","","1465","37896","","1188","0","247","98","843","5480","","5480","0","0","0","549","","476","0","3816","14408","2150",""
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","12/31/2017","5/19/2019","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","26659","249","26908","0","26908","25070","25070","287","1832","1832","0","148","18843","3960","","316","477","","1039","0","4","297","738","6","","0","6","0","0","0","","0","0","217","70","249",""
"58485","0","3594797","0","1st Capital Bank","Salinas","CA","93901","12/31/2017","5/19/2019","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","421555","6378","427933","0","427933","364975","364975","3219","172522","67326","105196","51982","124171","13081","","5749","51663","","419","0","0","0","419","5127","","0","5127","0","0","5749","","200","200","0","3219","5064",""
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","12/31/2017","5/19/2019","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","378825","4858","383683","0","383683","346525","346525","37635","82031","50548","31483","7904","218919","36","","0","29753","","4158","0","105","2880","1173","3247","","2803","444","0","0","0","","1729","1729","36442","1193","4305",""
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","12/31/2017","5/19/2019","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","45562","451","46013","0","46013","29849","29849","188","3930","3377","553","0","11817","13914","","10080","4645","","1401","0","18","968","415","38","","28","10","0","0","0","","0","0","0","188","451",""
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","12/31/2017","5/19/2019","NM","2650 Route 130","1ST CONSTITUTION BANCORP","18","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","4/10/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","www.1stconstitution.com","786147","8013","794160","0","794160","539190","539190","142063","295659","147282","148377","13216","87915","337","","2","252502","0","558","0","0","123","435","1908","","0","173","1735","0","0","0","3728","3728","98781","43282","8013",""
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","12/31/2017","5/19/2019","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","84499","1041","85540","12","85552","71227","71227","0","22275","7782","14493","26823","22129","0","","0","14282","","43","0","0","0","43","0","","0","0","0","0","0","","1148","1001","0","0","1022",""
