cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"26798","9457","460770","1480560","Home Savings Bank","Salt Lake City","UT","84105","9/30/2017","5/19/2019","NM","1455 East 2100 South Street","HOME CREDIT CORPORATION","1","0","0","4","0","Salt Lake","41620","Salt Lake City, UT","1/1/1979","10/3/1986","4/22/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","1","http://www.hsbutah.com","97142","1431","98573","0","98573","97420","97420","20144","34151","22668","11483","792","42333","0","","473","600","","80","0","0","8","72","0","","0","0","0","0","0","","301","3","6932","13212","1246",""
"35385","0","932277","3831250","Home Savings Bank","Youngstown","OH","44503","9/30/2017","5/19/2019","NM","275 West Federal Street","UNITED COMMUNITY FINANCIAL CORPORATION","37","0","1","4","0","Mahoning","49660","Youngstown-Warren-Boardman, OH-PA","10/3/2000","10/3/2000","4/13/2017","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","0","www.homesavings.com","2034679","20524","2055203","0","2055203","1808165","1808165","215895","363557","102765","260792","126090","1100325","2298","","0","175506","0","70311","0","795","58850","10666","1221","","588","633","0","0","0","0","17744","2179","94836","121059","20524",""
"30176","4893","868572","0","Home Savings Bank of Wapakoneta","Wapakoneta","OH","45895","9/30/2017","5/19/2019","SA","1 South Blackhoof Street","","1","0","0","5","0","Auglaize","","","11/24/1941","11/24/1941","12/31/2017","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.homesavings-wapak.com","28705","169","28874","0","28874","28747","28747","738","415","0","415","620","26672","302","","0","0","","127","0","0","0","127","0","","0","0","0","0","0","","0","0","607","131","169",""
"31723","7384","33370","0","Home Savings Bank, FSB","Ludlow","KY","41016","9/30/2017","5/19/2019","SA","202 Elm Street","","1","0","0","8","0","Kenton","17140","Cincinnati, OH-KY-IN","1/1/1941","1/10/1975","7/21/2011","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.homesavingsbanknky.com","12388","116","12504","0","12504","12504","12504","0","903","903","0","1704","9897","0","","0","0","","0","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","116",""
"966","0","472045","1207758","Home State Bank","Royal","IA","51357","9/30/2017","5/19/2019","NM","Third And Main","ROYAL BANCSHARES, INC.","1","0","0","2","1","Clay","","","4/12/1915","1/1/1934","1/10/2017","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","www.hsbroyal.com","26198","284","26482","0","26482","4083","4083","0","98","0","98","0","1334","2651","","20374","1086","","426","0","7","262","157","513","","480","33","0","0","0","","40","0","0","0","284",""
"9745","0","983550","1125553","Home State Bank","Litchfield","MN","55355","9/30/2017","5/19/2019","NM","1435 East Highway 12","KANDIYOHI BANCSHARES, INC.","4","0","0","4","1","Meeker","","","3/23/1926","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","www.hsbofmn.com","87334","1313","88647","0","88647","54436","54436","5482","22117","18578","3539","55","19122","7660","","5615","18016","","3541","0","122","1206","2213","7040","","3719","0","3321","0","0","","148","148","2289","3193","1313",""
"14867","10587","653947","1205905","Home State Bank","Jefferson","IA","50129","9/30/2017","5/19/2019","NM","115 West State Street","GREENE INVESTMENT CO.","1","0","0","2","1","Greene","","","1/1/1934","11/10/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.hsbankiowa.com","195041","2333","197374","0","197374","108758","108758","16352","42425","22946","19479","4433","13344","32204","","38017","42454","","3645","0","26","2492","1127","4500","","4449","51","0","0","0","","720","720","3865","12487","2333",""
"12815","12535","696430","1209181","Home State Bank, National Association","Crystal Lake","IL","60014","9/30/2017","5/19/2019","N","40 Grant Street","HOME STATE BANCORP, INC.","8","0","0","4","1","Mchenry","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1915","1/1/1934","7/20/2011","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.homestateonline.com","388658","4840","393498","62","393560","338741","338741","30359","163890","85661","78229","10772","133404","316","","899","41637","","8023","0","486","5941","1596","4260","","0","302","3958","0","0","","1795","1649","13530","16829","4840",""
"58194","0","3577389","3577419","HomeBanc","Tampa","FL","33609","9/30/2017","5/19/2019","SM","327 N. Dale Mabry Hwy","HOMEBANCORP, INC.","13","0","0","4","0","Hillsborough","45300","Tampa-St. Petersburg-Clearwater, FL","4/23/2007","4/23/2007","4/29/2018","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","","633349","3763","637112","0","637112","625873","625873","54","221523","27364","194159","55038","349258","0","","0","9205","","2035","0","0","0","2035","0","","0","0","0","0","0","","582","0","0","54","3763",""
"14492","15595","697156","1094480","HomeBank","Palmyra","MO","63461","9/30/2017","5/19/2019","NM","400 South Main Street","BYRON B. WEBB, INC.","7","0","1","2","1","Marion","","","6/1/1934","6/20/1934","10/31/2015","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.myhomebank.bank","294652","2691","297343","0","297343","205459","205459","14699","61494","37983","23511","3943","49718","75605","","31605","48928","","9304","0","253","3643","5408","2047","","2047","0","0","0","0","","0","0","5162","9537","2691",""
